Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_17_KW01;Primary control Auction;1;MW;1;MW;3194.00;EUR/MW;3194.00;EUR;19.01;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2950.00;EUR/MW;2950.00;EUR;17.56;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3139.00;EUR/MW;12556.00;EUR;18.68;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3144.00;EUR/MW;12576.00;EUR;18.71;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3166.00;EUR/MW;12664.00;EUR;18.85;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3168.00;EUR/MW;12672.00;EUR;18.86;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3170.00;EUR/MW;12680.00;EUR;18.87;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;4;MW;4;MW;3172.00;EUR/MW;12688.00;EUR;18.88;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;3;MW;3;MW;3174.00;EUR/MW;9522.00;EUR;18.89;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;3;MW;3;MW;3176.00;EUR/MW;9528.00;EUR;18.90;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;2;MW;2;MW;3178.00;EUR/MW;6356.00;EUR;18.92;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;2;MW;2;MW;3180.00;EUR/MW;6360.00;EUR;18.93;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;2;MW;2;MW;3182.00;EUR/MW;6364.00;EUR;18.94;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;3;MW;3;MW;3199.00;EUR/MW;9597.00;EUR;19.04;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2483.00;EUR/MW;2483.00;EUR;14.78;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2498.00;EUR/MW;2498.00;EUR;14.87;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2513.00;EUR/MW;2513.00;EUR;14.96;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2528.00;EUR/MW;2528.00;EUR;15.05;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2544.00;EUR/MW;2544.00;EUR;15.14;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2559.00;EUR/MW;2559.00;EUR;15.23;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2574.00;EUR/MW;2574.00;EUR;15.32;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2589.00;EUR/MW;2589.00;EUR;15.41;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2604.00;EUR/MW;2604.00;EUR;15.50;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2619.00;EUR/MW;2619.00;EUR;15.59;EUR/MWh*;CH
