Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3066.00;EUR/MW;6132.00;EUR;18.25;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3043.00;EUR/MW;6086.00;EUR;18.11;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3137.00;EUR/MW;6274.00;EUR;18.67;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2948.00;EUR/MW;2948.00;EUR;17.55;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2950.00;EUR/MW;5900.00;EUR;17.56;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3000.00;EUR/MW;6000.00;EUR;17.86;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3050.00;EUR/MW;6100.00;EUR;18.15;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3100.00;EUR/MW;6200.00;EUR;18.45;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3200.00;EUR/MW;6400.00;EUR;19.05;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3209.00;EUR/MW;16045.00;EUR;19.10;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3249.00;EUR/MW;16245.00;EUR;19.34;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3263.00;EUR/MW;16315.00;EUR;19.42;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3219.00;EUR/MW;16095.00;EUR;19.16;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3228.00;EUR/MW;16140.00;EUR;19.21;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3093.00;EUR/MW;15465.00;EUR;18.41;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3103.00;EUR/MW;15515.00;EUR;18.47;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3113.00;EUR/MW;15565.00;EUR;18.53;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3123.00;EUR/MW;15615.00;EUR;18.59;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3133.00;EUR/MW;31330.00;EUR;18.65;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3143.00;EUR/MW;31430.00;EUR;18.71;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3153.00;EUR/MW;31530.00;EUR;18.77;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3163.00;EUR/MW;31630.00;EUR;18.83;EUR/MWh*
PRL_16_KW03;Primary control Auction;15;MW;15;MW;3173.00;EUR/MW;47595.00;EUR;18.89;EUR/MWh*
PRL_16_KW03;Primary control Auction;15;MW;15;MW;3183.00;EUR/MW;47745.00;EUR;18.95;EUR/MWh*
PRL_16_KW03;Primary control Auction;15;MW;15;MW;3203.00;EUR/MW;48045.00;EUR;19.07;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3223.00;EUR/MW;32230.00;EUR;19.18;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3243.00;EUR/MW;32430.00;EUR;19.30;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3263.00;EUR/MW;32630.00;EUR;19.42;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3283.00;EUR/MW;16415.00;EUR;19.54;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;3;MW;3308.00;EUR/MW;9924.00;EUR;19.69;EUR/MWh*
PRL_16_KW03;Primary control Auction;10;MW;10;MW;3252.00;EUR/MW;32520.00;EUR;19.36;EUR/MWh*
