Ausschreibung,Beschreibung,Total_MW
PRL_24_03_09,Primary control Auction 08:00 bis 12:00,46
PRL_24_03_09,Primary control Auction 12:00 bis 16:00,27
PRL_24_03_09,Primary control Auction 16:00 bis 20:00,56
PRL_24_03_09,Primary control Auction 20:00 bis 24:00,30
PRL_24_03_10,Primary control Auction 00:00 bis 04:00,28
PRL_24_03_10,Primary control Auction 04:00 bis 08:00,27
PRL_24_03_10,Primary control Auction 08:00 bis 12:00,33
PRL_24_03_10,Primary control Auction 12:00 bis 16:00,33
PRL_24_03_10,Primary control Auction 16:00 bis 20:00,38
PRL_24_03_10,Primary control Auction 20:00 bis 24:00,27
PRL_24_03_11,Primary control Auction 00:00 bis 04:00,37
PRL_24_03_11,Primary control Auction 04:00 bis 08:00,42
PRL_24_03_11,Primary control Auction 08:00 bis 12:00,68
PRL_24_03_11,Primary control Auction 12:00 bis 16:00,57
PRL_24_03_11,Primary control Auction 16:00 bis 20:00,82
PRL_24_03_11,Primary control Auction 20:00 bis 24:00,28
PRL_24_03_12,Primary control Auction 00:00 bis 04:00,26
PRL_24_03_12,Primary control Auction 04:00 bis 08:00,25
PRL_24_03_12,Primary control Auction 08:00 bis 12:00,46
PRL_24_03_12,Primary control Auction 12:00 bis 16:00,45
PRL_24_03_12,Primary control Auction 16:00 bis 20:00,48
PRL_24_03_12,Primary control Auction 20:00 bis 24:00,26
PRL_24_03_13,Primary control Auction 00:00 bis 04:00,27
PRL_24_03_13,Primary control Auction 04:00 bis 08:00,21
PRL_24_03_13,Primary control Auction 08:00 bis 12:00,35
PRL_24_03_13,Primary control Auction 12:00 bis 16:00,33
PRL_24_03_13,Primary control Auction 16:00 bis 20:00,52
PRL_24_03_13,Primary control Auction 20:00 bis 24:00,36
PRL_24_03_14,Primary control Auction 00:00 bis 04:00,30
PRL_24_03_14,Primary control Auction 04:00 bis 08:00,29
PRL_24_03_14,Primary control Auction 08:00 bis 12:00,47
PRL_24_03_14,Primary control Auction 12:00 bis 16:00,39
PRL_24_03_14,Primary control Auction 16:00 bis 20:00,39
PRL_24_03_14,Primary control Auction 20:00 bis 24:00,30
PRL_24_03_15,Primary control Auction 00:00 bis 04:00,19
PRL_24_03_15,Primary control Auction 04:00 bis 08:00,26
PRL_24_03_15,Primary control Auction 08:00 bis 12:00,44
