Ausschreibung,Preis
PRL_24_05_06_4,24.07
PRL_24_05_06_5,13.75
PRL_24_05_06_6,8.5
PRL_24_05_07_1,9.0
PRL_24_05_07_2,10.75
PRL_24_05_07_3,11.53
PRL_24_05_07_4,15.9
PRL_24_05_07_5,14.78
PRL_24_05_07_6,17.58
PRL_24_05_08_1,8.5
PRL_24_05_08_2,13.11
PRL_24_05_08_3,19.52
PRL_24_05_08_4,25.13
PRL_24_05_08_5,15.88
PRL_24_05_08_6,14.03
PRL_24_05_09_1,8.29
PRL_24_05_09_2,12.41
PRL_24_05_09_3,31.48
PRL_24_05_09_4,38.28
PRL_24_05_09_5,22.61
PRL_24_05_09_6,12.89
PRL_24_05_10_1,7.88
PRL_24_05_10_2,12.05
PRL_24_05_10_3,24.85
PRL_24_05_10_4,31.06
PRL_24_05_10_5,22.3
PRL_24_05_10_6,14.14
PRL_24_05_11_1,8.12
PRL_24_05_11_2,12.5
PRL_24_05_11_3,41.74
PRL_24_05_11_4,49.95
PRL_24_05_11_5,23.33
PRL_24_05_11_6,13.75
PRL_24_05_12_1,9.63
PRL_24_05_12_2,12.63
PRL_24_05_12_3,32.88
PRL_24_05_12_4,56.22
PRL_24_05_12_5,29.13
PRL_24_05_12_6,14.75
PRL_24_05_13_1,9.6
PRL_24_05_13_2,12.68
PRL_24_05_13_3,27.5
PRL_24_05_13_4,39.25
PRL_24_05_13_5,28.42
PRL_24_05_13_6,16.27
PRL_24_05_14_1,13.8
PRL_24_05_14_2,13.91
PRL_24_05_14_3,36.22
PRL_24_05_14_4,43.48
PRL_24_05_14_5,29.0
PRL_24_05_14_6,18.4
PRL_24_05_15_1,10.85
PRL_24_05_15_2,15.6
PRL_24_05_15_3,75.0
PRL_24_05_15_4,46.26
PRL_24_05_15_5,31.2
PRL_24_05_15_6,18.0
PRL_24_05_16_1,10.25
PRL_24_05_16_2,17.96
PRL_24_05_16_3,66.5
PRL_24_05_16_4,60.45
PRL_24_05_16_5,27.36
PRL_24_05_16_6,17.97
PRL_24_05_17_1,9.11
PRL_24_05_17_2,15.39
PRL_24_05_17_3,29.55
PRL_24_05_17_4,44.05
PRL_24_05_17_5,23.75
PRL_24_05_17_6,14.48
PRL_24_05_18_1,8.31
PRL_24_05_18_2,13.8
PRL_24_05_18_3,41.01
PRL_24_05_18_4,54.98
PRL_24_05_18_5,23.67
PRL_24_05_18_6,13.8
PRL_24_05_19_1,9.36
PRL_24_05_19_2,19.3
PRL_24_05_19_3,53.97
PRL_24_05_19_4,75.21
PRL_24_05_19_5,38.55
PRL_24_05_19_6,23.88
PRL_24_05_20_1,10.0
PRL_24_05_20_2,13.2
PRL_24_05_20_3,40.47
PRL_24_05_20_4,61.32
PRL_24_05_20_5,25.86
PRL_24_05_20_6,19.38
PRL_24_05_21_1,8.17
PRL_24_05_21_2,12.55
PRL_24_05_21_3,26.14
PRL_24_05_21_4,51.34
PRL_24_05_21_5,27.61
PRL_24_05_21_6,25.0
PRL_24_05_22_1,20.1
PRL_24_05_22_2,17.9
PRL_24_05_22_3,33.59
PRL_24_05_22_4,48.8
PRL_24_05_22_5,27.28
PRL_24_05_22_6,19.68
PRL_24_05_23_1,10.0
PRL_24_05_23_2,14.11
PRL_24_05_23_3,24.0
PRL_24_05_23_4,42.8
PRL_24_05_23_5,20.36
PRL_24_05_23_6,20.0
PRL_24_05_24_1,7.82
PRL_24_05_24_2,11.0
PRL_24_05_24_3,17.75
PRL_24_05_24_4,21.5
PRL_24_05_24_5,17.5
PRL_24_05_24_6,13.9
PRL_24_05_25_1,7.92
PRL_24_05_25_2,10.3
PRL_24_05_25_3,25.56
PRL_24_05_25_4,33.88
PRL_24_05_25_5,23.0
PRL_24_05_25_6,12.7
PRL_24_05_26_1,8.64
